split,scope,speed_bin_mps,snr_db,n,mean_true_speed_mps,position_rmse_m,velocity_rmse_mps,velocity_error_median_mps,velocity_error_p95_mps,n_ge2bs,position_rmse_m_ge2bs,velocity_rmse_mps_ge2bs,velocity_error_over_speed_median,velocity_error_over_speed_p95,direction_angle_median_deg,direction_flip_fraction
train,scene_1,"[0,0.5)",-5.0,1908,0.0968983381048583,0.18160889339434585,0.37125183378410137,0.288675557288242,0.6673990190606145,1908,0.18160889339434585,0.37125183378410137,,,,
train,scene_1,"[0,0.5)",0.0,1908,0.0968983381048583,0.10215304567976906,0.20877450812855544,0.16228484936230264,0.37542680612396756,1908,0.10215304567976906,0.20877450812855544,,,,
train,scene_1,"[0,0.5)",5.0,1908,0.0968983381048583,0.05748337883011719,0.11742573324479179,0.09113369100129469,0.2111945759531944,1908,0.05748337883011719,0.11742573324479179,,,,
train,scene_1,"[0,0.5)",10.0,1908,0.0968983381048583,0.03239003185953712,0.06607904527456195,0.05123594762737736,0.11885658514780409,1908,0.03239003185953712,0.06607904527456195,,,,
train,scene_1,"[0.5,1)",-10.0,405,0.7452682712891446,0.3441416519391809,0.6774199284399433,0.5442162287120514,1.2104146800987765,405,0.3441416519391809,0.6774199284399433,,,,
train,scene_1,"[0.5,1)",-5.0,405,0.7452682712891446,0.19353728314073626,0.38092835266867286,0.3061136441210286,0.6805958298155456,405,0.19353728314073626,0.38092835266867286,,,,
train,scene_1,"[0.5,1)",0.0,405,0.7452682712891446,0.10885785476766821,0.2142233054331003,0.17215101558602267,0.38233533122743724,405,0.10885785476766821,0.2142233054331003,,,,
train,scene_1,"[0.5,1)",5.0,405,0.7452682712891446,0.06125474590153676,0.12049296331643973,0.09682861921717739,0.21498394349220434,405,0.06125474590153676,0.12049296331643973,,,,
train,scene_1,"[0.5,1)",10.0,405,0.7452682712891446,0.034514576539382336,0.06780596577308158,0.05448883647026807,0.12097538687285721,405,0.034514576539382336,0.06780596577308158,,,,
train,scene_1,"[1,2)",-10.0,583,1.4412065393370495,0.3430970269026096,0.6884698557992299,0.5348083894793826,1.2298063665592778,583,0.3430970269026096,0.6884698557992299,,,,
train,scene_1,"[1,2)",-5.0,583,1.4412065393370495,0.19281380203842757,0.3871548237549758,0.30077682772497566,0.692289907313381,583,0.19281380203842757,0.3871548237549758,,,,
train,scene_1,"[1,2)",0.0,583,1.4412065393370495,0.10840778603389363,0.21772820065131934,0.16926832329274594,0.389554036606122,583,0.10840778603389363,0.21772820065131934,,,,
train,scene_1,"[1,2)",5.0,583,1.4412065393370495,0.060987530940795204,0.12246526398936915,0.0952799227241633,0.21918204716980544,583,0.060987530940795204,0.12246526398936915,,,,
train,scene_1,"[1,2)",10.0,583,1.4412065393370495,0.03435892929710064,0.06891613380063173,0.053636590754517405,0.12336454797359651,583,0.03435892929710064,0.06891613380063173,,,,
train,scene_1,"[2,5)",-10.0,1642,3.572913234976617,0.3350867934696251,0.6962709825167374,0.5363873028811728,1.2699044533401886,1642,0.3350867934696251,0.6962709825167374,0.15277393127384298,0.41084260523396215,2.7448333035631833,0.0
train,scene_1,"[2,5)",-5.0,1642,3.572913234976617,0.1883787960284751,0.39145057581269244,0.30167450618443636,0.7135335947887582,1642,0.1883787960284751,0.39145057581269244,0.08592143897595877,0.23110238481245549,1.5408417384000435,0.0
train,scene_1,"[2,5)",0.0,1642,3.572913234976617,0.10593611537492187,0.220114570715377,0.16980269763624772,0.40104208205902303,1642,0.10593611537492187,0.220114570715377,0.048303601731388576,0.12997110458972128,0.8686680457778073,0.0
train,scene_1,"[2,5)",5.0,1642,3.572913234976617,0.05960444656151341,0.12379811758425768,0.0954977516055876,0.22557360895033818,1642,0.05960444656151341,0.12379811758425768,0.027147906869132418,0.07310590235113602,0.49015615592450823,0.0
train,scene_1,"[2,5)",10.0,1642,3.572913234976617,0.03358282229673129,0.06966322955526304,0.053740860032280624,0.12693670953018554,1642,0.03358282229673129,0.06966322955526304,0.015260164862649252,0.041140534067337205,0.27608765468648466,0.0
train,scene_1,"[5,10)",-10.0,4164,7.811895415584478,0.3600457026433198,0.7760033341007766,0.5813190170234854,1.3978634967459134,4164,0.3600457026433198,0.7760033341007766,0.07502156409547714,0.19440633395422025,1.2306168287439674,0.0
train,scene_1,"[5,10)",-5.0,4164,7.811895415584478,0.2024864167859855,0.43640097186598253,0.32692336071534994,0.7854776393089297,4164,0.2024864167859855,0.43640097186598253,0.04222623430404962,0.10933382675839456,0.6927084175356748,0.0
