selection,seed,validation_split,origin,snr_db,gnn_epoch,relation_D_epoch,ade_targets,fde_targets,gnn_ADE,relation_D_ADE,delta_ADE_relation_minus_gnn,gnn_FDE,relation_D_FDE,delta_FDE_relation_minus_gnn,gnn_scene_J,relation_D_scene_J,delta_scene_J_relation_minus_gnn,gnn_source,relation_D_source
final,2026,V_select,10,10,100,100,8,8,1.0789766311645508,1.166163444519043,0.08718681335449219,1.9069582223892212,2.056715726852417,0.1497575044631958,2.0324557423591614,2.1945213079452515,0.1620655655860901,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,10,15,100,100,8,8,1.078780174255371,1.1662648916244507,0.08748471736907959,1.906633734703064,2.0569851398468018,0.1503514051437378,2.032097041606903,2.1947574615478516,0.1626604199409485,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,10,20,100,100,8,8,1.0788047313690186,1.165940523147583,0.08713579177856445,1.9069349765777588,2.0563042163848877,0.1493692398071289,2.032272219657898,2.194092631340027,0.1618204116821289,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,11,5,100,100,8,8,1.067720890045166,1.2952373027801514,0.22751641273498535,2.143352508544922,2.634505033493042,0.4911525249481201,2.139397144317627,2.6124898195266724,0.4730926752090454,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,11,10,100,100,8,8,1.0720728635787964,1.291524887084961,0.21945202350616455,2.1489109992980957,2.624429941177368,0.47551894187927246,2.1465283632278442,2.603739857673645,0.4572114944458008,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,11,15,100,100,8,8,1.072102665901184,1.2916666269302368,0.21956396102905273,2.1487855911254883,2.6243386268615723,0.475553035736084,2.1464954614639282,2.603835940361023,0.4573404788970947,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,11,20,100,100,8,8,1.0721592903137207,1.2911272048950195,0.21896791458129883,2.148617744445801,2.622904062271118,0.4742863178253174,2.146468162536621,2.6025792360305786,0.4561110734939575,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,12,5,100,100,8,8,1.136781096458435,1.1805133819580078,0.043732285499572754,2.183256149291992,2.473923921585083,0.2906677722930908,2.228409171104431,2.4174753427505493,0.18906617164611816,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,12,10,100,100,8,8,1.1357464790344238,1.1813713312149048,0.04562485218048096,2.1830148696899414,2.4752349853515625,0.2922201156616211,2.2272539138793945,2.418988823890686,0.1917349100112915,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,12,15,100,100,8,8,1.1358062028884888,1.181769847869873,0.04596364498138428,2.1833465099334717,2.47578763961792,0.29244112968444824,2.2274794578552246,2.419663667678833,0.1921842098236084,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,12,20,100,100,8,8,1.1361689567565918,1.1818037033081055,0.04563474655151367,2.18355655670166,2.476050615310669,0.2924940586090088,2.227947235107422,2.41982901096344,0.19188177585601807,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,13,5,100,100,8,8,0.5819779634475708,0.7351633906364441,0.1531854271888733,0.9966601133346558,1.1227238178253174,0.12606370449066162,1.0803080201148987,1.2965252995491028,0.2162172794342041,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,13,10,100,100,8,8,0.5821212530136108,0.7353684306144714,0.1532471776008606,0.9964598417282104,1.1230478286743164,0.12658798694610596,1.080351173877716,1.2968923449516296,0.21654117107391357,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,13,15,100,100,8,8,0.5827845335006714,0.7382274866104126,0.1554429531097412,0.9979214072227478,1.126319408416748,0.12839800119400024,1.0817452371120453,1.3013871908187866,0.21964195370674133,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,13,20,100,100,8,8,0.5828259587287903,0.7382175326347351,0.15539157390594482,0.9980506896972656,1.1263482570648193,0.1282975673675537,1.081851303577423,1.3013916611671448,0.21954035758972168,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,14,5,100,100,8,8,0.8572872281074524,0.8302228450775146,-0.027064383029937744,1.6027556657791138,1.4649581909179688,-0.13779747486114502,1.6586650609970093,1.562701940536499,-0.09596312046051025,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,14,10,100,100,8,8,0.857170820236206,0.8310757875442505,-0.026095032691955566,1.6019747257232666,1.4662277698516846,-0.13574695587158203,1.6581581830978394,1.5641896724700928,-0.09396851062774658,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,14,15,100,100,8,8,0.8546634316444397,0.8294745087623596,-0.025188922882080078,1.5967516899108887,1.46187424659729,-0.13487744331359863,1.653039276599884,1.5604116320610046,-0.0926276445388794,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,14,20,100,100,8,8,0.8544923663139343,0.8300443291664124,-0.024448037147521973,1.596634864807129,1.4640264511108398,-0.13260841369628906,1.6528097987174988,1.5620575547218323,-0.0907522439956665,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
