scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,peak_power,noise_floor,cfar_score
synthetic,count3_r40_norm_b0,-5.0,1,0,10-75,10.917600346881503,10.386687479681482,-0.530912867200021,183256.0653932459,16764.461578519917,0.7926449927343288
synthetic,count3_r40_norm_b0,-5.0,1,1,150-225,-14.746806037788392,23.72117612750469,38.46798216529308,517.6264061093609,2.197347836744762,17.081562142025316
synthetic,count3_r40_norm_b0,-5.0,2,1,150-225,-13.688066930222972,23.799942564773925,37.488009494996895,664.5658457129895,2.7704081820442954,17.39419077400239
synthetic,count3_r40_norm_b0,0.0,0,0,10-75,14.315898645964118,11.13945653496052,-3.176442111003599,576329.8379859464,44332.8295541812,0.9426611872587328
synthetic,count3_r40_norm_b0,0.0,0,1,150-225,-10.853253005273473,25.473935784791863,36.327188790065335,1341.460659698075,3.8035082481969766,25.574287963383554
synthetic,count3_r40_norm_b0,0.0,1,0,10-75,15.917600346881503,10.386892962000475,-5.530707384881028,579616.1824726565,53021.401845240136,0.7926824968683253
synthetic,count3_r40_norm_b0,0.0,1,1,150-225,-9.746806037788392,24.55669039812151,34.303496435909906,1645.8183702962167,5.763852596222831,20.70518009157282
synthetic,count3_r40_norm_b0,0.0,2,1,150-225,-8.688066930222972,24.531992852511245,33.22005978273422,2105.6998547843345,7.416468934548776,20.587767626792136
synthetic,count3_r40_norm_b0,5.0,0,0,10-75,19.31589864596412,11.138784757635957,-8.177113888328162,1822472.5982519859,140211.1435691836,0.9425153853979505
synthetic,count3_r40_norm_b0,5.0,0,1,150-225,-5.853253005273473,25.92313206529095,31.776385070564423,4246.90292530659,10.858232272525331,28.36110704280069
synthetic,count3_r40_norm_b0,5.0,1,0,10-75,20.917600346881503,10.386986632516129,-10.530613714365375,1833103.629256681,167682.7369491571,0.7926995939722649
synthetic,count3_r40_norm_b0,5.0,1,1,150-225,-4.746806037788392,24.847546896205444,29.594352933993836,5221.408106311062,17.101450570578535,22.139339602942552
synthetic,count3_r40_norm_b0,5.0,2,1,150-225,-3.6880669302229716,24.793617517675983,28.481684447898957,6667.380539151614,22.110241760441063,21.86611985407668
synthetic,count3_r40_norm_b0,10.0,0,0,10-75,24.31589864596412,11.138399049733378,-13.17749959623074,5763090.534336947,443420.26497033477,0.9424316819421577
synthetic,count3_r40_norm_b0,10.0,0,1,150-225,-0.8532530052734728,26.078080352439038,26.93133335771251,13439.387784607532,33.156711476612344,29.391246675241085
synthetic,count3_r40_norm_b0,10.0,1,0,10-75,25.917600346881503,10.387032389907528,-15.530567956973975,5797133.161971219,530285.8484068747,0.792707945921962
synthetic,count3_r40_norm_b0,10.0,1,1,150-225,0.2531939622116077,24.938380349342225,24.685186387130617,16542.52361464047,53.05957027452536,22.60726408032268
synthetic,count3_r40_norm_b0,10.0,2,1,150-225,1.3119330697770284,24.881026073471958,23.56909300369493,21100.53221194986,68.57894537863993,22.31066831964878
synthetic,count3_r40_norm_b0,15.0,0,0,10-75,29.31589864596412,11.138179640210456,-18.177719005753662,18224362.627603568,1402278.8518580087,0.9423840706389738
synthetic,count3_r40_norm_b0,15.0,0,1,150-225,4.146746994726527,26.1298374790156,21.98309048428907,42516.88130993693,103.651991996307,29.74361290550745
synthetic,count3_r40_norm_b0,15.0,1,0,10-75,30.917600346881503,10.387055934052366,-20.530544412829137,18332769.37699461,1676959.1430941545,0.7927122433933925
synthetic,count3_r40_norm_b0,15.0,1,1,150-225,5.253193962211608,24.964631124255064,19.711437162043456,52368.122177074896,166.9567141154706,22.744326698710193
synthetic,count3_r40_norm_b0,15.0,2,1,150-225,6.311933069777028,24.909812401481354,18.597879331704327,66756.12614294446,215.5310707533192,22.459041241670164
synthetic,count3_r40_norm_b0,20.0,0,0,10-75,34.31589864596412,11.138055463561344,-23.177843182402775,57630265.44930014,4434504.231249637,0.942357125690794
synthetic,count3_r40_norm_b0,20.0,0,1,150-225,9.146746994726527,26.14724381260954,17.00049681788301,134482.75635469507,326.5443851305738,29.863063225914185
synthetic,count3_r40_norm_b0,20.0,1,0,10-75,35.9176003468815,10.387068482331603,-25.530531864549896,57974419.30347141,5303096.854226527,0.7927145338182925
synthetic,count3_r40_norm_b0,20.0,1,1,150-225,10.253193962211608,24.97137573026975,14.718181768058141,165703.22547324907,527.4646865385795,22.77967614643349
synthetic,count3_r40_norm_b0,20.0,2,1,150-225,11.311933069777028,24.91940161671309,13.60746854693606,211156.61714968656,680.243709029819,22.508685556015227
