model,samples,snr_ref_db,scene,range_class,count,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
B8,8,5.0,count8_r280_norm_b0,far,8,0,7,True,False,1,287.0,0.21954551502632108,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,0,True,False,0,197.97249906032616,0.8585081370822285,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,1,True,False,0,182.75794393774197,0.8315023995606414,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,2,True,False,0,168.0946809405665,0.7969678969704395,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,3,True,False,0,154.1401227736336,0.7523531999779376,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,4,True,False,0,141.10468857139665,0.694295222076999,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,5,True,False,0,129.26673518346024,0.6186172224170928,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,6,True,False,0,118.98421959718374,0.5207540893892862,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,1,7,True,False,0,110.6914639947943,0.3970644786206616,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,0,0,True,True,1,287.0,-0.21954551502632108,286.94355996425566,-0.2197750502395158,-9.028658990082079,0.05644003574434464,0.00022953521319471482,0.08799944212943349,7.797256895955444,
E0,256,10.0,count8_r280_norm_b0,far,8,0,1,True,False,1,283.59301824974466,-0.15870276356818452,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,0,2,True,False,1,281.29877354869507,-0.09599852092307218,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,0,3,True,False,1,280.14460551650825,-0.032131383697143634,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,0,4,True,False,1,280.14460551650825,0.032131383697143634,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,0,5,True,False,1,281.29877354869507,0.09599852092307173,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,0,6,True,True,1,283.59301824974466,0.15870276356818452,282.51025467766766,0.14224659019239716,-9.276347492618845,1.082763572076999,0.016456173375787364,4.833723719693836,10.836600209740295,
E0,256,10.0,count8_r280_norm_b0,far,8,0,7,True,False,1,287.0,0.21954551502632108,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,0,True,False,0,197.97249906032616,0.8585081370822285,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,1,True,False,0,182.75794393774197,0.8315023995606414,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,2,True,False,0,168.0946809405665,0.7969678969704395,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,3,True,False,0,154.1401227736336,0.7523531999779376,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,4,True,False,0,141.10468857139665,0.694295222076999,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,5,True,False,0,129.26673518346024,0.6186172224170928,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,6,True,False,0,118.98421959718374,0.5207540893892862,,,,,,,,
E0,256,10.0,count8_r280_norm_b0,far,8,1,7,True,False,0,110.6914639947943,0.3970644786206616,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,0,0,True,True,2,287.0,-0.21954551502632108,286.9343821760689,-0.21963945820618214,-9.065988597008452,0.06561782393112026,9.394317986105571e-05,0.07120647476861254,8.109887383489014,
B64,64,10.0,count8_r280_norm_b0,far,8,0,1,True,False,2,283.59301824974466,-0.15870276356818452,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,0,2,True,False,2,281.29877354869507,-0.09599852092307218,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,0,3,True,False,2,280.14460551650825,-0.032131383697143634,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,0,4,True,False,2,280.14460551650825,0.032131383697143634,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,0,5,True,False,2,281.29877354869507,0.09599852092307173,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,0,6,True,True,2,283.59301824974466,0.15870276356818452,282.5302762964988,0.14184590916823916,-9.292580039504749,1.0627419532458475,0.01685685439994536,4.941252226278421,11.113423814303577,
B64,64,10.0,count8_r280_norm_b0,far,8,0,7,True,False,2,287.0,0.21954551502632108,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,0,True,False,1,197.97249906032616,0.8585081370822285,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,1,True,False,1,182.75794393774197,0.8315023995606414,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,2,True,False,1,168.0946809405665,0.7969678969704395,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,3,True,False,1,154.1401227736336,0.7523531999779376,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,4,True,False,1,141.10468857139665,0.694295222076999,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,5,True,False,1,129.26673518346024,0.6186172224170928,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,6,True,False,1,118.98421959718374,0.5207540893892862,,,,,,,,
B64,64,10.0,count8_r280_norm_b0,far,8,1,7,True,False,1,110.6914639947943,0.3970644786206616,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,0,True,False,1,287.0,-0.21954551502632108,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,1,True,False,1,283.59301824974466,-0.15870276356818452,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,2,True,False,1,281.29877354869507,-0.09599852092307218,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,3,True,False,1,280.14460551650825,-0.032131383697143634,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,4,True,False,1,280.14460551650825,0.032131383697143634,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,5,True,False,1,281.29877354869507,0.09599852092307173,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,6,True,False,1,283.59301824974466,0.15870276356818452,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,0,7,True,True,1,287.0,0.21954551502632108,286.9263017323377,0.21854265477307785,-9.027784816684473,0.07369826766228016,0.0010028602532432263,0.30397408969684603,8.248772447663365,
B32,32,10.0,count8_r280_norm_b0,far,8,1,0,True,False,0,197.97249906032616,0.8585081370822285,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,1,1,True,False,0,182.75794393774197,0.8315023995606414,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,1,2,True,False,0,168.0946809405665,0.7969678969704395,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,1,3,True,False,0,154.1401227736336,0.7523531999779376,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,1,4,True,False,0,141.10468857139665,0.694295222076999,,,,,,,,
B32,32,10.0,count8_r280_norm_b0,far,8,1,5,True,False,0,129.26673518346024,0.6186172224170928,,,,,,,,
