model,snr_ref_db,scene,count,range_class,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
TF22_comb2_stride2,10.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2526269695485,0.6103437360385622,4.5053184331631115,0.0022655961569455485,8.789644131246277e-05,0.019569318947832735,23.840060169724666,
TS8_diagnostic,10.0,count1_r40_norm_b0,1,near,0,0,True,True,2,40.0,0.0,39.997234698194156,7.590221279365264e-06,-7.937549417531615,0.0027653018058444445,7.590221279365264e-06,0.0028033932205532687,25.29487199237671,61.39473638481553
TS8_diagnostic,10.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25350327237612,0.610286629811,4.5072922543934695,0.0013892933293107035,3.0790213750298e-05,0.006949251998349806,23.662851291573173,
E0_full_grid,15.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99748145501877,1.8075770447328167e-06,-7.938100231812397,0.0025185449812283878,1.8075770447328167e-06,0.002539469357586908,25.3011839848315,75.42679069960593
E0_full_grid,15.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25271808303776,0.6101919865773318,4.5029559425334025,0.0021744826676695084,6.385301991795878e-05,0.01428616003087997,24.026743077172696,
TS2_time_sparse,15.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.997425913464234,-1.4616547959902543e-06,-7.938070331699686,0.0025740865357661846,1.4616547959902543e-06,0.0025950850451230537,25.29942784944786,72.4256232370089
TS2_time_sparse,15.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.2524570781518,0.6102736665517623,4.50329416953833,0.0024354875536403142,1.7826954512578652e-05,0.004634332547500473,24.00421823565437,
TS4_time_sparse,15.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99746639391669,-1.811631489071093e-07,-7.937985362620719,0.002533606083311213,1.811631489071093e-07,0.002553646305881994,25.29945828739067,69.40657850626418
TS4_time_sparse,15.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25300181490894,0.6102702325620019,4.50312595706289,0.0018907507964911474,1.4392964752141246e-05,0.0037024260704849247,23.961149357677428,
COMB4_destagger,15.0,count1_r40_norm_b0,1,near,0,0,True,True,5,40.0,0.0,39.99751877537148,4.781750010296637e-06,-7.938166772312516,0.002481224628517964,4.781750010296637e-06,0.0025080298974965846,25.305743478209592,69.44476107824795
