record,model,K,N,snr_ref_db,r_m,radial_mps,received_snr_db,measured_rd_snr_db,theory_rd_snr_db,delta_db,detection_margin_db
predicted,B_sparse_comb2,256,256,5.0,280.0,,-12.88632125368877,,28.746352914794784,,24.563174243507998
predicted,C_sparse_A_plus_RCS,256,256,5.0,280.0,,-12.88632125368877,,25.73605295815497,,21.552874286868185
predicted,E0_full_grid,256,256,10.0,40.0,,25.917600346881503,,70.56057447200487,,66.37739580071809
predicted,A_sparse_comb4,256,256,10.0,40.0,,25.917600346881503,,64.53997455872525,,60.35679588743846
predicted,B_sparse_comb2,256,256,10.0,40.0,,25.917600346881503,,67.55027451536506,,63.36709584407827
predicted,C_sparse_A_plus_RCS,256,256,10.0,40.0,,25.917600346881503,,64.53997455872525,,60.35679588743846
predicted,E0_full_grid,256,256,10.0,140.0,,4.15487857287048,,48.79785269799385,,44.61467402670706
predicted,A_sparse_comb4,256,256,10.0,140.0,,4.15487857287048,,42.77725278471422,,38.59407411342743
predicted,B_sparse_comb2,256,256,10.0,140.0,,4.15487857287048,,45.787552741354034,,41.604374070067244
predicted,C_sparse_A_plus_RCS,256,256,10.0,140.0,,4.15487857287048,,42.77725278471422,,38.59407411342743
predicted,E0_full_grid,256,256,10.0,280.0,,-7.88632125368877,,36.756652871434596,,32.57347420014781
predicted,A_sparse_comb4,256,256,10.0,280.0,,-7.88632125368877,,30.73605295815497,,26.552874286868185
predicted,B_sparse_comb2,256,256,10.0,280.0,,-7.88632125368877,,33.746352914794784,,29.563174243507998
predicted,C_sparse_A_plus_RCS,256,256,10.0,280.0,,-7.88632125368877,,30.73605295815497,,26.552874286868185
predicted,E0_full_grid,256,256,15.0,40.0,,30.917600346881503,,75.56057447200487,,71.37739580071809
predicted,A_sparse_comb4,256,256,15.0,40.0,,30.917600346881503,,69.53997455872525,,65.35679588743847
predicted,B_sparse_comb2,256,256,15.0,40.0,,30.917600346881503,,72.55027451536506,,68.36709584407828
predicted,C_sparse_A_plus_RCS,256,256,15.0,40.0,,30.917600346881503,,69.53997455872525,,65.35679588743847
predicted,E0_full_grid,256,256,15.0,140.0,,9.15487857287048,,53.79785269799385,,49.61467402670706
predicted,A_sparse_comb4,256,256,15.0,140.0,,9.15487857287048,,47.77725278471422,,43.59407411342743
