scene_index,target_index,target_id,eligible,ade_margin_m,fde_margin_m,lstm_ade_m,lstm_fde_m,transformer_ade_m,transformer_fde_m,target_interaction_gnn_ade_m,target_interaction_gnn_fde_m,proposed_ade_m,proposed_fde_m,initial_heading_rad,net_longitudinal_m,net_lateral_m,path_length_m,path_efficiency,heading_change_deg,max_lateral_excursion_m,speed_ratio,motion_type
17,5,1312,False,-0.001958191394805908,-0.03883126378059387,0.5680428743362427,0.7219147682189941,0.5430445671081543,0.5771610736846924,0.4660457968711853,0.48635444045066833,0.4680039882659912,0.5251857042312622,0.07235854864120483,9.734076813338703,-0.17719285967355417,9.75548322584636,0.9979710083724689,8.800937485209216,0.32144742843302454,1.8716108594663876,lateral_or_mild_curve
17,6,1374,False,-0.09805992245674133,-0.22114026546478271,0.34444037079811096,0.9192834496498108,0.3771098256111145,1.0301483869552612,0.1337834596633911,0.33549022674560547,0.23184338212013245,0.5566304922103882,2.335224151611328,-0.5442560952234236,-0.5541649699975664,0.8163368558957913,0.9514853838067314,83.6886672154816,0.5541649699975664,4.400787855797327,left
17,7,1338,False,-0.06755024194717407,-0.21444916725158691,0.5928161144256592,2.111030101776123,0.6962255239486694,2.229870319366455,0.4571329951286316,1.6142123937606812,0.5246832370758057,1.828661561012268,2.3352932929992676,-1.2691180953014196,-1.308807662916975,1.8454437735621503,0.987884236802001,77.9948114021021,1.308807662916975,55.18433502839099,left
18,0,1532,True,0.2258734405040741,0.1228322982788086,0.6636792421340942,0.9913742542266846,0.9208465814590454,1.4333274364471436,0.8911150693893433,2.355501890182495,0.43780580163002014,0.868541955947876,-0.019698714837431908,13.343950085175008,5.462255186090104,14.676102249854424,0.9824571743541449,33.02188240192987,5.462255186090104,1.0053977131645535,left
18,1,1555,False,-0.043941378593444824,-0.09184408187866211,0.337065190076828,0.996040940284729,0.370462566614151,0.7252958416938782,0.2772979140281677,0.7524504661560059,0.32123929262161255,0.8171399235725403,-0.27135181427001953,12.884693279870412,3.635078309224665,13.567416605254325,0.9867499649920907,27.747938770753912,3.635078309224665,0.8818914805125435,left
18,2,1536,False,-0.03281831741333008,0.23773396015167236,0.5881965160369873,1.6950502395629883,0.7702309489250183,1.7336636781692505,0.8348522186279297,1.928855061531067,0.6210148334503174,1.457316279411316,-0.39385950565338135,13.316619900870608,4.561126759956564,14.353668027484652,0.9806613613200958,34.36388972375858,4.561126759956564,0.936974822715857,left
18,3,1565,False,-0.3008800148963928,-0.6137770414352417,1.7938534021377563,3.8639800548553467,0.802923858165741,1.923789381980896,1.0508334636688232,2.253901243209839,1.1038038730621338,2.5375664234161377,-0.6378225684165955,19.695202947451634,0.19427105842568645,19.69848326575207,0.9998821123095746,3.3729915527530903,0.19427105842568645,1.0115757741494111,straight
18,4,1558,False,-0.5718296766281128,-1.6570614576339722,0.5438456535339355,1.4623950719833374,0.5670183897018433,1.694737195968628,0.5143258571624756,1.1349328756332397,1.0861555337905884,2.791994333267212,-0.6723554134368896,15.387724529422494,0.6153216455652225,15.40737683626163,0.9995226615322269,0.4903403865425973,0.6153216455652225,1.3531049746095214,straight
18,5,1467,False,-0.038310468196868896,-0.05300718545913696,0.1073785275220871,0.14147160947322845,0.15828284621238708,0.2772676646709442,0.29875293374061584,0.5530094504356384,0.145688995718956,0.19447879493236542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
18,6,1508,True,0.000165548175573349,0.03734242916107178,0.051788635551929474,0.08298242092132568,0.14286357164382935,0.2034642994403839,0.1344585120677948,0.23586449027061462,0.051623087376356125,0.045639991760253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
18,7,1482,False,-0.10392343997955322,-0.08133257925510406,0.153324693441391,0.2124929130077362,0.0746428519487381,0.14445732533931732,0.11728966236114502,0.18733754754066467,0.17856629192829132,0.2257899045944214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
19,0,1555,False,-0.004093855619430542,-0.23735171556472778,0.3622221052646637,0.8702471852302551,0.6809788942337036,1.3444634675979614,0.44016033411026,0.8132657408714294,0.36631596088409424,1.0506174564361572,-0.006647774949669838,12.884691886461678,3.6350799548945387,13.567415549853454,0.9867499758413719,27.747895322079227,3.6350799548945387,0.8818912831280997,left
19,1,1536,False,-0.039992183446884155,-0.3385325074195862,0.8478618860244751,1.8814486265182495,0.5657932162284851,0.912112295627594,0.40899309515953064,1.1421271562576294,0.4489852786064148,1.2506448030471802,-0.12915518879890442,13.316620046769978,4.561125691808848,14.353667706690656,0.9806613687399353,34.36388826514763,4.561125691808848,0.9369752074027144,left
