scene_index,target_interaction_gnn_ade_snr5,target_interaction_gnn_fde_snr5,proposed_ade_snr5,proposed_fde_snr5,ade_gain_snr5,fde_gain_snr5,target_error_cv_snr5,target_interaction_gnn_ade_snr20,target_interaction_gnn_fde_snr20,proposed_ade_snr20,proposed_fde_snr20,ade_gain_snr20,fde_gain_snr20,target_error_cv_snr20,median_distance_score,imbalance_score,selection_score,eligible
373,1.0243700742721558,2.221705913543701,0.9771623015403748,2.0093677043914795,0.046084685522781874,0.0955743997699203,0.4207096993923187,0.7169812321662903,1.7473167181015015,0.6943718791007996,1.6626002788543701,0.03153409329443495,0.04848373415620818,0.6936643719673157,0.131548078604137,0.5571870356798172,0.2708448375240913,True
1015,1.0823898315429688,2.590763568878174,1.060791254043579,2.6022608280181885,0.019954527352313015,-0.004437787870003543,0.18377064168453217,1.0021950006484985,2.139472723007202,0.8843943476676941,1.9881246089935303,0.11754264679486348,0.0707408476799554,0.4426732361316681,0.1931603671010286,0.31322193890810013,0.2714658518280536,False
626,1.2573713064193726,1.9642362594604492,1.19685959815979,2.0514638423919678,0.04812556796122718,-0.04440788754988102,0.2369721680879593,0.7627751231193542,1.364196538925171,0.7507290840148926,1.3495917320251465,0.015792385906870723,0.010705793837837554,0.33152857422828674,0.20085152850089363,0.284250371158123,0.27191412129042436,False
119,1.1769217252731323,2.418801784515381,1.1302604675292969,2.3126933574676514,0.039646865838088435,0.04386817792471112,0.35867366194725037,0.9212056994438171,2.259742021560669,0.787176251411438,1.9894622564315796,0.14549350716490372,0.11960646947761906,0.3684418499469757,0.18155736302227105,0.36355775594711304,0.2724468020090493,True
146,0.9970439076423645,1.646233320236206,0.9356280565261841,1.512948989868164,0.06159794031679699,0.08096320778449435,0.22011612355709076,0.83110111951828,1.4041109085083008,0.8442376255989075,1.3676772117614746,-0.015806146535143135,0.025947876714050033,0.30340173840522766,0.20853858605060305,0.2617589309811592,0.27397831879589285,False
994,1.169952392578125,2.1244335174560547,1.10194730758667,2.014930248260498,0.05812636943422803,0.05154469099446497,0.47091299295425415,1.1016616821289062,1.899288296699524,1.0023689270019531,1.9122366905212402,0.09012998885018386,-0.0068174978196924065,0.660285234451294,0.13269523369799996,0.565599113702774,0.27409501212369347,False
480,0.8895689249038696,1.4899988174438477,0.876055896282196,1.6019301414489746,0.015190535824004706,-0.07512175358444216,0.4410472810268402,0.7226677536964417,1.5127683877944946,0.7365066409111023,1.6929709911346436,-0.01914972287593408,-0.11912107946866282,0.15866617858409882,0.19988771778607303,0.2998567298054695,0.27485190023744044,False
176,1.0709282159805298,2.3159193992614746,0.9391579031944275,1.9918980598449707,0.12304308619364827,0.13991045608920213,0.4118266999721527,0.906597912311554,2.0556154251098633,0.9301271438598633,2.1605048179626465,-0.025953326418231885,-0.05102578603542895,0.4001801013946533,0.17614569271107694,0.406003400683403,0.2776465428819277,False
4,1.2519538402557373,1.7205575704574585,1.1799414157867432,1.7159534692764282,0.05752003161257457,0.0026759355572194797,0.53443443775177,1.0070093870162964,1.5627106428146362,0.8426672220230103,1.4410884380340576,0.16319824533137803,0.07782771899570728,0.4457138478755951,0.15585214926950564,0.49007414281368256,0.2783706849729263,True
1009,0.939278781414032,1.5851655006408691,1.0396021604537964,2.074317216873169,-0.1068089485517102,-0.30858084915079204,0.6416694521903992,0.678735613822937,1.2316677570343018,0.7770519852638245,1.5216999053955078,-0.14485223618534834,-0.23547920833745484,0.7180553078651428,0.10944548192976329,0.679862380027771,0.279411076936706,False
