origin,slot,episode_id,source_block,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
106,7,s1_t1118936980200_a1561,21,0.018069332465529442,0.025840139016509056,0.012721464037895203,0.01294055487960577
107,0,s1_t1118936980200_a1561,21,0.22249889373779297,0.4192260503768921,0.22126705944538116,0.42116665840148926
107,1,s1_t1118936980200_a1561,21,0.009339259937405586,0.0075177522376179695,0.008609568700194359,0.013426941819489002
107,2,s1_t1118936980200_a1561,21,1.4823715686798096,1.9829994440078735,1.543359398841858,2.065082550048828
107,3,s1_t1118936980200_a1561,21,0.5961425304412842,1.2447136640548706,0.6995879411697388,0.7006651759147644
107,4,s1_t1118936980200_a1561,21,0.9906958341598511,1.3429311513900757,0.8125888705253601,0.10123741626739502
107,5,s1_t1118936980200_a1561,21,0.8699636459350586,0.7178649306297302,1.4614026546478271,2.3499491214752197
107,6,s1_t1118936980200_a1561,21,0.005627839360386133,0.008071145042777061,0.012348441407084465,0.015708785504102707
107,7,s1_t1118936980200_a1561,21,0.02018282748758793,0.03332030400633812,0.010557230561971664,0.010293335653841496
108,0,s1_t1118936980200_a1561,21,0.02286248654127121,0.035579413175582886,0.023210540413856506,0.03903517127037048
108,1,s1_t1118936980200_a1561,21,0.009494034573435783,0.008092803880572319,0.010120052844285965,0.016654975712299347
108,2,s1_t1118936980200_a1561,21,1.087298035621643,1.6378004550933838,0.2801178991794586,0.5283036828041077
108,3,s1_t1118936980200_a1561,21,0.42350560426712036,1.0941269397735596,0.5602304935455322,1.3851954936981201
108,4,s1_t1118936980200_a1561,21,1.2259957790374756,2.833794355392456,0.5815022587776184,0.7850610613822937
108,5,s1_t1118936980200_a1561,21,0.9046295285224915,0.9038538336753845,0.6983051300048828,1.7274657487869263
108,6,s1_t1118936980200_a1561,21,0.008762730285525322,0.013097275979816914,0.01340997964143753,0.017770683392882347
108,7,s1_t1118936980200_a1561,21,0.019151844084262848,0.031649231910705566,0.012443505227565765,0.012810871936380863
109,0,s1_t1118936980200_a1561,21,0.0195816271007061,0.04845907539129257,0.017472419887781143,0.05316891521215439
109,1,s1_t1118936980200_a1561,21,0.00956822745501995,0.008388983085751534,0.010841748677194118,0.01802647113800049
109,2,s1_t1118936980200_a1561,21,1.0820714235305786,1.5725539922714233,0.8781045079231262,1.3014097213745117
109,3,s1_t1118936980200_a1561,21,0.4917811453342438,0.9499367475509644,0.8222726583480835,1.9567360877990723
109,4,s1_t1118936980200_a1561,21,1.6268463134765625,2.166823148727417,1.450499176979065,2.0104806423187256
109,5,s1_t1118936980200_a1561,21,0.8030102849006653,2.159139633178711,1.6598011255264282,3.7050557136535645
109,6,s1_t1118936980200_a1561,21,0.015702763572335243,0.01528163067996502,0.009435531683266163,0.003883769502863288
109,7,s1_t1118936980200_a1561,21,0.018063152208924294,0.02730565518140793,0.012174583971500397,0.01243582647293806
110,0,s1_t1118936980200_a1561,21,0.06041790917515755,0.1715029627084732,0.062334634363651276,0.1742091178894043
110,1,s1_t1118936980200_a1561,21,0.009553035721182823,0.00836209300905466,0.01082832831889391,0.018016235902905464
110,2,s1_t1118936980200_a1561,21,1.0625231266021729,2.576895236968994,1.3404852151870728,2.413825750350952
110,3,s1_t1118936980200_a1561,21,0.776127278804779,0.7348001003265381,0.6424029469490051,0.711207926273346
110,4,s1_t1118936980200_a1561,21,0.9025629162788391,1.7970324754714966,0.7714147567749023,1.2782409191131592
110,5,s1_t1118936980200_a1561,21,2.2764923572540283,5.1028571128845215,1.6876693964004517,3.9864566326141357
110,6,s1_t1118936980200_a1561,21,0.01212870329618454,0.011824061162769794,0.005978866014629602,0.0004919157945550978
110,7,s1_t1118936980200_a1561,21,0.018000153824687004,0.026970267295837402,0.012164639309048653,0.012414185330271721
111,0,s1_t1118936980200_a1561,21,0.05668637901544571,0.10563095659017563,0.058181602507829666,0.10924766212701797
111,1,s1_t1118936980200_a1561,21,0.009513513185083866,0.008284998126327991,0.010693145915865898,0.017870787531137466
111,2,s1_t1118936980200_a1561,21,0.7843672633171082,1.493182897567749,0.7458738088607788,2.0208470821380615
111,3,s1_t1118936980200_a1561,21,1.6980884075164795,4.437265396118164,0.7233993411064148,2.3554999828338623
111,4,s1_t1118936980200_a1561,21,1.201474666595459,2.5727903842926025,1.5249849557876587,3.66066575050354
111,5,s1_t1118936980200_a1561,21,1.6802151203155518,3.8549628257751465,1.1300396919250488,2.2005105018615723
111,6,s1_t1118936980200_a1561,21,0.008411861024796963,0.007081862073391676,0.004681925289332867,0.004629228264093399
111,7,s1_t1118936980200_a1561,21,0.018054509535431862,0.02685900405049324,0.011869536712765694,0.012006733566522598
112,0,s1_t1118937000200_a1538,22,0.015280473046004772,0.022334663197398186,0.009134607389569283,0.012146653607487679
112,1,s1_t1118937000200_a1538,22,0.27663516998291016,0.7611335515975952,0.18857112526893616,0.4103621542453766
112,2,s1_t1118937000200_a1538,22,0.28019022941589355,0.5826125144958496,0.2963382601737976,0.6189191937446594
112,3,s1_t1118937000200_a1538,22,0.2917918562889099,0.5511569380760193,1.080553412437439,3.142486572265625
112,4,s1_t1118937000200_a1538,22,1.6080375909805298,3.0422701835632324,2.120885133743286,4.761223793029785
112,5,s1_t1118937000200_a1538,22,0.5847346782684326,0.5896305441856384,0.6911943554878235,1.251500129699707
113,0,s1_t1118937000200_a1538,22,0.012677842751145363,0.018982697278261185,0.014635550789535046,0.015173484571278095
113,1,s1_t1118937000200_a1538,22,0.013892334885895252,0.03461899608373642,0.015871308743953705,0.025063462555408478
113,2,s1_t1118937000200_a1538,22,0.01324666477739811,0.014358658343553543,0.009141189977526665,0.005926723591983318
113,3,s1_t1118937000200_a1538,22,0.7372261881828308,1.4044504165649414,1.5312293767929077,3.8071351051330566
113,4,s1_t1118937000200_a1538,22,0.6851893663406372,1.2968612909317017,0.4185519218444824,1.0883631706237793
113,5,s1_t1118937000200_a1538,22,1.0578715801239014,2.251533269882202,1.0302619934082031,2.087538003921509
114,0,s1_t1118937000200_a1538,22,0.009285738691687584,0.006621018052101135,0.022227199748158455,0.060607925057411194
114,1,s1_t1118937000200_a1538,22,0.006438238080590963,0.011583218351006508,0.012420348823070526,0.030702799558639526
114,2,s1_t1118937000200_a1538,22,0.015484815463423729,0.019171467050909996,0.03449757769703865,0.10919500142335892
114,3,s1_t1118937000200_a1538,22,0.7180756330490112,1.393353819847107,1.1518909931182861,3.2657389640808105
114,4,s1_t1118937000200_a1538,22,0.9969150424003601,3.240891456604004,1.608642816543579,4.806057929992676
114,5,s1_t1118937000200_a1538,22,0.5379751920700073,0.9788443446159363,0.4074585437774658,0.7413711547851562
115,0,s1_t1118937000200_a1538,22,0.011303246021270752,0.009392150677740574,0.014205440878868103,0.01863613724708557
