group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
episode_id,s0_t1118936220200_a622,186,31,1,0.0004636573825131634,-0.005267069859871953,0.0003955885655521516,0.0017667265542429787,train
episode_id,s0_t1118936240200_a582,184,31,1,-0.08502949062622701,-0.25682621080322793,0.11711200826105474,0.3867359522833719,train
episode_id,s0_t1118936240200_a617,237,31,1,-0.028222991071020713,-0.0981863195340994,0.0633727845757518,0.1690157217519334,train
episode_id,s0_t1118936240200_a621,19,19,1,-0.08159754283902798,-0.17104029496604062,0.1554716145597895,0.40439657301165804,train
episode_id,s0_t1118936260200_a563,125,31,1,-0.115300255179206,-0.32013146040295754,0.08917526370284765,0.23444485597374443,train
episode_id,s0_t1118936260200_a610,225,31,1,-0.05095869448010741,-0.11906921089536238,0.10762188700786586,0.1981552649660137,train
episode_id,s0_t1118936260200_a648,222,31,1,-0.05534512781731538,-0.13655271688165557,0.09612681875956472,0.23392106783314012,train
episode_id,s0_t1118936280200_a607,202,31,1,-0.034507286567614745,-0.08115396279874772,0.11775096979915191,0.24868471167843828,train
episode_id,s0_t1118936280200_a622,143,31,1,-0.09636465705987994,-0.23514051634198815,0.15595024086254114,0.4320988390294957,train
episode_id,s0_t1118936280200_a626,192,31,1,-0.05989599636171373,-0.17314774862948001,0.12539610150517597,0.3247222413594714,train
episode_id,s0_t1118936300200_a658,124,31,1,-0.09717848481248546,-0.1770646506270541,0.10312489175692618,0.24628309770263737,train
episode_id,s0_t1118936300200_a679,219,31,1,-0.10217877440230352,-0.3349552640002214,0.06511978700470306,0.1923308835618716,train
episode_id,s0_t1118936300200_a710,219,31,1,-0.026796190794562885,-0.08087939623755298,0.006861502354686342,0.030244079020568918,train
episode_id,s0_t1118936320200_a612,188,31,1,-0.02324937355822924,-0.06899252081041099,0.03710788585725662,0.10620506563891474,train
episode_id,s0_t1118936320200_a719,124,31,1,-0.03390724311186192,-0.07683866778147641,0.07612422738346462,0.18756437570890508,train
episode_id,s0_t1118936320200_a728,204,31,1,-0.005500700780853206,-0.08762241583817044,0.03236583595379885,0.08925379179084451,train
episode_id,s0_t1118936340200_a680,169,31,1,-0.03601809230071441,-0.16536648802143109,0.07795288485495139,0.22693907108879077,train
episode_id,s0_t1118936340200_a717,248,31,1,-0.0001868961579743878,-0.00022474756485156634,0.004990714442080213,0.012694517466118032,train
episode_id,s0_t1118936340200_a745,248,31,1,-0.10735944678767421,-0.2867319528575475,0.1118639725863242,0.2631512346058393,train
