model,split,episode_id,targets,off_minus_on_ADE,off_minus_on_FDE,prediction_change_mean_m,improved_ADE_targets,worsened_ADE_targets,improved_FDE_targets,worsened_FDE_targets
A_latest,train,s1_t1118936840200_a1308,70,0.12876744711547164,0.3386683509424052,0.3369092820212245,9,20,6,19
A_latest,train,s1_t1118936840200_a1343,248,0.008137040976693221,0.03858058097684715,0.05055835252108321,89,159,83,165
A_latest,train,s1_t1118936860200_a1353,248,0.04107377254349125,0.11305806293661756,0.0994921789003104,65,183,70,178
A_latest,train,s1_t1118936860200_a1354,248,0.005785691535639966,0.028986777500850124,0.058606415443078264,76,172,74,174
A_latest,train,s1_t1118936860200_a1407,172,0.2375571242228056,0.6227436341043701,0.5491130697655323,46,106,43,101
A_latest,train,s1_t1118936880200_a1336,248,0.02987779466157816,0.07652871210100429,0.18703212262405414,125,123,120,128
A_latest,train,s1_t1118936880200_a1373,217,0.09852199734870132,0.22732816383305296,0.25865962261479986,64,153,76,141
A_latest,train,s1_t1118936880200_a1411,155,0.17450866114496597,0.4886929296877774,0.38931775989645584,38,105,33,110
A_latest,V_select,s1_t1118936940200_a1485,128,0.2740560661853494,0.5896685212217259,0.7859919892322864,39,89,45,83
A_latest,V_select,s1_t1118936960200_a1524,128,0.012255367315312557,0.061746613358640054,0.12365229013443013,35,93,38,90
A_latest,V_select,s1_t1118936960200_a1530,120,0.19803216552279,0.44259149059086805,0.7370079717443635,40,75,42,73
A_latest,V_select,s1_t1118936960200_a1532,91,0.09773835043416107,0.1672295005617721,0.6662349090962619,43,48,37,48
A_latest,V_select,s1_t1118936980200_a1532,118,0.036438039749658535,0.1372498431720859,0.20646605256035278,27,78,28,73
A_latest,V_select,s1_t1118936980200_a1534,115,-0.023350826153093262,-0.0729211912699042,0.36176672255539377,53,61,53,60
A_latest,V_select,s1_t1118936980200_a1561,128,0.007613842166729669,0.010042840733517994,0.2049340621852025,61,67,54,74
A_latest,V_select,s1_t1118937000200_a1538,96,0.07069667871474299,0.21152508269349035,0.146194315455053,41,55,52,44
A_latest,V_select,s1_t1118937000200_a1580,114,0.024083035134413167,0.06467174724431682,0.4488000779632178,51,63,50,62
A_latest,V_select,s1_t1118937000200_a1596,108,0.000590581672269097,0.007799863384039612,0.0889647977295243,61,47,55,47
A_latest,V_select,s1_t1118937020200_a1525,128,0.008584172182128823,0.03524111202911225,0.012049686150533034,19,109,15,113
A_latest,V_select,s1_t1118937020200_a1556,118,0.0398192982692526,0.11849134463713137,0.06520085267186652,41,77,50,66
A_latest,V_select,s1_t1118937020200_a1566,128,0.004905861738452437,0.022678614613930528,0.010714238371519968,34,94,23,105
A_latest,V_select,s1_t1118937040200_a1602,116,0.027803470414281006,0.0871585313344096,0.04390761345473885,20,96,18,96
A_latest,V_select,s1_t1118937040200_a1637,128,0.03461717137336428,0.11844230575179653,0.0412545906308992,27,101,34,94
A_latest,V_select,s1_t1118937040200_a1638,128,0.27195591714112655,0.5885567058763437,0.8450580353782016,45,83,44,84
A_latest,V_select,s1_t1118937060200_a1627,118,0.08146897373975222,0.17328849478395297,0.6092893429249979,46,62,51,55
A_latest,V_select,s1_t1118937060200_a1652,63,0.0007055891559195001,0.024147408163861066,0.6464206773846869,28,34,24,30
A_latest,V_select,s1_t1118937060200_a1658,82,0.15588695920129342,0.2638306045060753,0.8034365982634992,28,52,33,41
A_latest,V_select,s1_t1118937080200_a1692,112,0.025548482230460676,0.08230872248286183,0.22599757978511142,44,53,42,48
A_latest,V_select,s1_t1118937080200_a1696,112,0.1151593853711291,0.26684848924961996,0.3511574609599068,43,69,48,61
A_latest,V_select,s1_t1118937080200_a1706,128,0.09052837914094097,0.21118620893891543,0.4862373670054012,45,81,46,80
A_latest,V_select,s1_t1118937100200_a1644,118,0.10154861145249663,0.27929762975217126,0.2680905266305811,61,57,59,57
A_latest,V_select,s1_t1118937100200_a1686,128,0.0226977173645282,0.11017974246902007,0.1943038953751426,72,56,64,64
A_latest,V_select,s1_t1118937100200_a1745,118,-0.025630833636241933,-0.0482251094956772,0.15767391889879698,39,79,47,68
