split,snr_db,horizon_steps,horizon_seconds,aligned_targets,vector_identity_max_abs_error,position_estimation_error_m,velocity_estimation_error_mps,A_norm_m,B_norm_m,C_norm_m,CV_hat_residual_norm_m,model,final_residual_identity_max_abs_error,model_correction_norm_m,model_residual_norm_m
train,15,20,2.0,33073,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 0.009787903968150317, ""median"": 0.00993856048035105, ""p90"": 0.014575511010092903, ""p99"": 0.01779862077907004}","{""count"": 33073, ""mean"": 0.006363396982931059, ""median"": 0.006806916333746023, ""p90"": 0.013546544557421712, ""p99"": 0.017547961764471057}","{""count"": 33073, ""mean"": 0.009787903968150317, ""median"": 0.00993856048035105, ""p90"": 0.014575511010092903, ""p99"": 0.01779862077907004}","{""count"": 33073, ""mean"": 0.012726793965862118, ""median"": 0.013613832667492045, ""p90"": 0.027093089114843424, ""p99"": 0.03509592352894211}","{""count"": 33073, ""mean"": 1.9440557591340328, ""median"": 1.0508333116359638, ""p90"": 5.26941382787977, ""p99"": 9.743773955759364}","{""count"": 33073, ""mean"": 1.947704696521463, ""median"": 1.0507757816741061, ""p90"": 5.269835140027045, ""p99"": 9.735534992600671}",,,,
train,15,20,2.0,33073,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.744418881313462, ""median"": 0.759549270854616, ""p90"": 4.93680090529661, ""p99"": 9.00523420354396}","{""count"": 33073, ""mean"": 0.727545128093624, ""median"": 0.4051459841311089, ""p90"": 1.8294173871804078, ""p99"": 4.88394397849847}"
train,15,20,2.0,33073,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.674520671825623, ""median"": 0.7047945379762347, ""p90"": 4.705760015291994, ""p99"": 8.950047606047315}","{""count"": 33073, ""mean"": 0.8764745727728133, ""median"": 0.4687103214372393, ""p90"": 2.277577173420134, ""p99"": 5.573341923430697}"
train,15,20,2.0,33073,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.6276075110092518, ""median"": 0.6737704847075756, ""p90"": 4.5769903377458565, ""p99"": 8.679486915408813}","{""count"": 33073, ""mean"": 0.9005711692554244, ""median"": 0.4930171861858994, ""p90"": 2.333316564016761, ""p99"": 5.7625352503538085}"
train,20,5,0.5,34083,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.00978876510052539, ""median"": 0.009940932426695656, ""p90"": 0.014577370087607207, ""p99"": 0.017708828470376265}","{""count"": 34083, ""mean"": 0.00645909410449318, ""median"": 0.006981330884617004, ""p90"": 0.013562116752475154, ""p99"": 0.01753099689783341}","{""count"": 34083, ""mean"": 0.00978876510052539, ""median"": 0.009940932426695656, ""p90"": 0.014577370087607207, ""p99"": 0.017708828470376265}","{""count"": 34083, ""mean"": 0.00322954705224659, ""median"": 0.003490665442308502, ""p90"": 0.006781058376237577, ""p99"": 0.008765498448916704}","{""count"": 34083, ""mean"": 0.3261396021458798, ""median"": 0.10329698399769535, ""p90"": 0.9636252087296769, ""p99"": 2.3943319551098}","{""count"": 34083, ""mean"": 0.33003949268915256, ""median"": 0.103456828205661, ""p90"": 0.9659113267054563, ""p99"": 2.392301074664079}",,,,
train,20,5,0.5,34083,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.24587050079088224, ""median"": 0.08545320955633316, ""p90"": 0.6660704141239481, ""p99"": 1.9332087520029098}","{""count"": 34083, ""mean"": 0.22160056531885663, ""median"": 0.10379379024892536, ""p90"": 0.6021984841117934, ""p99"": 1.4989714876200972}"
train,20,5,0.5,34083,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.22862779857284513, ""median"": 0.07631269113058434, ""p90"": 0.600275469422341, ""p99"": 1.8593172342480486}","{""count"": 34083, ""mean"": 0.23205079356029612, ""median"": 0.10654524365264087, ""p90"": 0.6336423935852431, ""p99"": 1.5678640169614138}"
train,20,5,0.5,34083,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.21877564722651002, ""median"": 0.07328606635795896, ""p90"": 0.5785708177756123, ""p99"": 1.7828207368774907}","{""count"": 34083, ""mean"": 0.23940728466256717, ""median"": 0.11143636305921166, ""p90"": 0.657037671665092, ""p99"": 1.584837053044537}"
train,20,10,1.0,33745,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.009785333507753693, ""median"": 0.00993856048035105, ""p90"": 0.014572284222159951, ""p99"": 0.017704539601662177}","{""count"": 33745, ""mean"": 0.006426190490319913, ""median"": 0.006936068825619851, ""p90"": 0.013545730475841164, ""p99"": 0.01752543486945656}","{""count"": 33745, ""mean"": 0.009785333507753693, ""median"": 0.00993856048035105, ""p90"": 0.014572284222159951, ""p99"": 0.017704539601662177}","{""count"": 33745, ""mean"": 0.006426190490319913, ""median"": 0.006936068825619851, ""p90"": 0.013545730475841164, ""p99"": 0.01752543486945656}","{""count"": 33745, ""mean"": 0.7732491153316421, ""median"": 0.3271695603919446, ""p90"": 2.1634875209353637, ""p99"": 4.725416586215859}","{""count"": 33745, ""mean"": 0.7769190965535123, ""median"": 0.3281486486765058, ""p90"": 2.161541512332876, ""p99"": 4.72496657872918}",,,,
train,20,10,1.0,33745,,,,,,,,Q_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6658327607464888, ""median"": 0.2585116665544419, ""p90"": 1.845092398928661, ""p99"": 4.219095720807594}","{""count"": 33745, ""mean"": 0.3941381122565953, ""median"": 0.20786135536118452, ""p90"": 1.025672987774097, ""p99"": 2.495704387274125}"
