kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
input,synthetic,count5_r40_norm_b0,0.0,4,1,150-225,-7.716766980632277,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,4,1,150-225,-7.716766980632277,23.9203034620423,31.637070442674577,,163.4821487204535,0.6628877462835574,20.08471476176751
input,synthetic,count5_r40_norm_b0,5.0,0,0,10-75,15.76402884949781,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,0,0,10-75,15.76402884949781,23.252772293070283,7.4887434435724725,,65714.77106274589,310.7318494512017,17.223148711316107
input,synthetic,count5_r40_norm_b0,5.0,1,0,10-75,19.31589864596412,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,1,0,10-75,19.31589864596412,13.21900038803653,-6.096898257927588,,167881.9368770742,8000.256885824866,1.7089736280096308
input,synthetic,count5_r40_norm_b0,5.0,2,0,10-75,20.917600346881503,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,2,0,10-75,20.917600346881503,10.350262682420139,-10.567337664461364,,120724.51544254688,11137.025208629224,0.882798507810614
input,synthetic,count5_r40_norm_b0,5.0,3,0,10-75,19.31589864596412,,,,,,
input,synthetic,count5_r40_norm_b0,5.0,4,0,10-75,15.76402884949781,,,,,,
input,synthetic,count5_r40_norm_b0,5.0,0,1,150-225,-6.977465326930689,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,0,1,150-225,-6.977465326930689,23.474241986516166,30.451707313446853,,188.10414444176436,0.8452285646412905,18.124228163383926
input,synthetic,count5_r40_norm_b0,5.0,1,1,150-225,-5.853253005273473,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,1,1,150-225,-5.853253005273473,25.327113216349765,31.18036622162324,,263.33681938819296,0.7723253042381057,27.768130634602283
input,synthetic,count5_r40_norm_b0,5.0,2,1,150-225,-4.746806037788392,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,2,1,150-225,-4.746806037788392,24.318783873799514,29.065589911587907,,327.8806898567782,1.2129347897288767,22.014747545401463
input,synthetic,count5_r40_norm_b0,5.0,3,1,150-225,-3.6880669302229716,,,,,,
