model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
B64,64,10.0,5.0,2.0,1,1,1,0,True,0.11066821852978137,1.5665750087250085
E0,256,10.0,5.0,2.0,2,2,2,0,False,0.0014230469972034143,0.03355113437520275
B64,64,10.0,5.0,2.0,2,1,1,0,True,0.12485490163660984,1.9177547633843293
E0,256,10.0,5.0,2.0,3,2,2,0,False,0.006440884243104961,0.06528989782754831
B64,64,10.0,5.0,2.0,3,1,1,0,True,0.13769936054040954,2.2261513139595155
E0,256,10.0,5.0,2.0,4,4,2,2,False,0.006211573705130036,0.07484036318047987
B64,64,10.0,5.0,2.0,4,1,1,0,True,0.1381960567801741,2.2446279282014427
E0,256,10.0,5.0,2.0,5,2,2,0,False,0.0016635902306489925,0.08081052856679438
B64,64,10.0,5.0,2.0,5,1,1,0,True,0.09496594478886777,0.8496610727686333
E0,256,10.0,5.0,2.0,6,3,2,1,False,0.004280820371761251,0.09812371588582626
B64,64,10.0,5.0,2.0,6,1,1,0,True,0.1102553975757985,3.168906396448405
E0,256,10.0,5.0,2.0,7,3,2,1,False,0.007434886502394988,0.08389598590486397
B64,64,10.0,5.0,2.0,7,1,1,0,True,0.138349196675847,2.2533183457214903
E0,256,10.0,5.0,2.0,8,2,2,0,False,0.007263835256580364,0.07551308119278483
B64,64,10.0,5.0,2.0,8,1,1,0,True,0.13732894484894587,2.247357511638746
E0,256,10.0,5.0,2.0,9,3,2,1,False,0.00510330294471828,0.041985498476967045
B64,64,10.0,5.0,2.0,9,1,1,0,True,0.13605026641255336,2.1838592843572275
E0,256,10.0,5.0,2.0,10,2,2,0,False,0.0017044620089166074,0.06908768918262082
B64,64,10.0,5.0,2.0,10,2,1,1,True,0.10900916927855064,1.437810113637528
E0,256,10.0,5.0,2.0,11,2,2,0,False,0.0005807074706609683,0.028138210204652056
B64,64,10.0,5.0,2.0,11,3,1,2,True,0.12467051169804222,2.0108392947439566
E0,256,10.0,5.0,2.0,12,3,2,1,False,0.0008141712728644279,0.058117396920019326
B64,64,10.0,5.0,2.0,12,1,1,0,True,0.11255883526712296,1.5962252433420938
E0,256,10.0,5.0,2.0,13,2,2,0,False,0.0073881771314461275,0.07917368982383845
B64,64,10.0,5.0,2.0,13,2,1,1,True,0.1392167910755404,2.266323302501364
E0,256,10.0,5.0,2.0,14,3,2,1,False,0.000497989264843568,0.03409571274527038
B64,64,10.0,5.0,2.0,14,1,1,0,True,0.12321551471472958,1.9185258205528648
E0,256,10.0,5.0,2.0,15,4,2,2,False,0.0024410868889503945,0.010458722376103749
B64,64,10.0,5.0,2.0,15,1,1,0,True,0.1316330346560335,2.0830311506933095
E0,256,10.0,5.0,2.0,16,2,2,0,False,0.00837747080602469,0.09451116213106489
B64,64,10.0,5.0,2.0,16,1,1,0,True,0.13885526333419307,2.2564294561431892
E0,256,10.0,5.0,2.0,17,2,2,0,False,0.007392726588989262,0.07516406569011783
B64,64,10.0,5.0,2.0,17,1,1,0,True,0.13841369336853404,2.245403457398367
E0,256,10.0,5.0,2.0,18,2,2,0,False,0.0032431610812864164,0.01995978515656623
B64,64,10.0,5.0,2.0,18,1,1,0,True,0.13396999913831564,2.1484352927404267
E0,256,10.0,5.0,2.0,19,3,2,1,False,0.0018079390696357223,0.06958328928491597
B64,64,10.0,5.0,2.0,19,2,1,1,True,0.10224000423781376,1.1775192138466184
E0,256,10.0,5.0,2.0,20,3,2,1,False,0.00478414421944251,0.0319954761857546
B64,64,10.0,5.0,2.0,20,4,1,3,True,0.13495799743313341,2.1803218520122907
E0,256,10.0,5.0,2.0,21,3,2,1,False,0.0008202877297236455,0.03474890732584824
B64,64,10.0,5.0,2.0,21,1,1,0,True,0.12310810391920768,1.9291320520935535
E0,256,10.0,5.0,2.0,22,2,2,0,False,0.003956159352853206,0.10898082512847412
B64,64,10.0,5.0,2.0,22,3,2,1,False,0.14991741182014096,3.559763941961611
E0,256,10.0,5.0,2.0,23,2,2,0,False,0.003230830897479109,0.0888514578450568
B64,64,10.0,5.0,2.0,23,1,1,0,True,0.0847029254866527,0.18967667560883544
E0,256,10.0,5.0,2.0,24,2,2,0,False,0.001872363167493063,0.013618779062165444
B64,64,10.0,5.0,2.0,24,2,1,1,True,0.12800022429459545,2.0596278938855255
