ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
0.8418,4.4986,15,mid,True,4,96,4.4986,15,1118935711100,5.3404,0,True,10,true_tracking_tail,4
1.3121,3.7761,15,mid,True,4,99,3.7761,15,1118935711100,5.0882,0,True,10,true_tracking_tail,4
0.1462,3.2666,11,mid,True,4,117,3.1204,12,1118935713100,3.2666,1,True,10,true_tracking_tail,4
5.3271,11.6861,470,mid,True,66,142,0.6679,479,1118936134600,5.9951,2,True,10,unresolved,6
5.3921,11.6289,470,mid,True,66,143,0.6295,479,1118936134600,6.0216,2,True,10,unresolved,6
1.9023,11.5198,614,mid,True,82,143,0.8003,617,1118936234600,2.7026,5,True,10,unresolved,6
2.118,7.4908,19,high,False,8,69,0.3022,18,1118935747600,2.4202,0,False,15,alignment_suspect,8
3.1592,6.831,7,high,False,5,117,0.3333,11,1118935732100,3.4925,7,True,15,alignment_suspect,8
3.0684,4.9835,28,high,False,8,53,0.237,26,1118935745600,3.3054,7,True,15,alignment_suspect,8
0.4712,1.4557,211,high,False,41,57,0.9844,220,1118935967600,1.4557,3,False,15,ambiguous_close_vehicle,4
3.0244,16.9562,5,high,False,5,30,3.6732,12,1118935723600,6.6976,5,True,15,true_tracking_tail,8
1.5843,10.7002,4,high,False,5,37,4.4276,12,1118935724100,6.012,6,True,15,true_tracking_tail,8
3.1481,10.5332,11,high,False,5,33,7.3851,12,1118935723600,10.5332,4,True,15,true_tracking_tail,8
3.2794,8.3317,19,high,False,8,68,0.5457,20,1118935748600,3.825,5,True,15,unresolved,8
1.8871,8.2701,19,high,False,8,70,0.7073,18,1118935747600,2.5944,0,False,15,unresolved,8
3.0948,7.177,18,high,False,8,60,0.506,19,1118935748100,3.6007,0,False,15,unresolved,8
3.1656,5.3052,21,high,True,8,21,0.43,20,1118935743100,3.5956,1,True,15,alignment_suspect,8
3.1656,5.3052,21,high,True,8,21,0.43,20,1118935743600,3.5956,1,True,15,alignment_suspect,8
3.1656,5.3052,21,high,True,8,21,0.43,20,1118935744100,3.5956,1,True,15,alignment_suspect,8
