origin,slot,all_ADE_rank,moving_ADE_rank,passes_motion,true_displacement_2s_m,average_displacement_speed_mps,valid_future_frames,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
119,5,106,,False,0.0,0.0,20,0.005280286818742752,0.0031609463039785624,0.006660892814397812,0.010049235075712204
121,5,107,,False,0.0,0.0,20,0.005281994864344597,0.0031730388291180134,0.006655548512935638,0.010031770914793015
122,5,108,,False,0.0,0.0,20,0.005288941785693169,0.003154732519760728,0.006597436964511871,0.01004400197416544
359,0,109,,False,0.0,0.0,20,0.005336924642324448,0.003663778305053711,0.009017700701951981,0.014732228592038155
307,2,110,,False,0.0,0.0,20,0.0053417481482028965,0.0008985297754406929,0.004098254069685936,0.004746264312416315
305,2,111,,False,0.0,0.0,20,0.00535283163189888,0.004072305280715227,0.007073400169610977,0.004691360983997583
151,7,112,,False,0.0,0.0,20,0.005384459346532822,0.0031667868606746197,0.01115538701415062,0.017676522955298424
306,5,113,,False,0.0,0.0,20,0.0054020509123802185,0.006766918580979109,0.0031758952885866166,0.002129805739969015
201,4,114,,False,0.060655965824296276,0.030327982912148138,20,0.00542847290635109,0.012009607627987862,0.00596473254263401,0.008209084160625935
22,6,115,,False,0.046813350772632656,0.023406675386316328,20,0.005456356704235077,0.04066015034914017,0.006302961707115173,0.041536666452884674
182,6,116,,False,0.0,0.0,20,0.005610253289341926,0.008407635614275932,0.0046164896339178085,0.0053823865018785
232,2,117,,False,0.002513445189380946,0.001256722594690473,20,0.005610929802060127,0.008182382211089134,0.006748722493648529,0.014081191271543503
220,3,118,,False,0.05765878325456091,0.028829391627280456,20,0.0056147750467061995,0.00700338976457715,0.006750179827213288,0.01517532393336296
216,5,119,,False,0.008539841122642739,0.0042699205613213696,20,0.005673525482416153,0.012643846683204174,0.004753919690847397,0.009935170412063599
386,2,120,,False,0.0,0.0,20,0.005682632327079773,0.007966849952936172,0.014602741599082947,0.017056452110409737
222,5,121,,False,0.008839200000000602,0.004419600000000301,20,0.005701277405023575,0.013156693428754807,0.004966558516025543,0.009959082119166851
140,1,122,,False,0.0,0.0,20,0.005703199654817581,0.00853691902011633,0.004638441652059555,0.00942237675189972
118,5,123,,False,0.0,0.0,20,0.005768681690096855,0.0042451852932572365,0.01005115881562233,0.013477328233420849
386,7,124,,False,0.0,0.0,20,0.005771262198686599,0.006454042159020901,0.008210735768079758,0.011673267930746078
