split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,74,20,1381,1381,1381,1381,True,0,0,True
train,75,5,786,786,786,786,True,0,0,True
train,75,10,786,786,786,786,True,0,0,True
train,75,15,786,786,786,786,True,0,0,True
train,75,20,786,786,786,786,True,0,0,True
train,76,5,1538,1538,1538,1538,True,0,0,True
train,76,10,1538,1538,1538,1538,True,0,0,True
train,76,15,1538,1538,1538,1538,True,0,0,True
train,76,20,1538,1538,1538,1538,True,0,0,True
train,77,5,1592,1592,1592,1592,True,0,0,True
train,77,10,1592,1592,1592,1592,True,0,0,True
train,77,15,1592,1592,1592,1592,True,0,0,True
train,77,20,1592,1592,1592,1592,True,0,0,True
train,78,5,1560,1560,1560,1560,True,0,0,True
train,78,10,1560,1560,1560,1560,True,0,0,True
train,78,15,1560,1560,1560,1560,True,0,0,True
train,78,20,1560,1560,1560,1560,True,0,0,True
train,79,5,1570,1570,1570,1570,True,0,0,True
train,79,10,1570,1570,1570,1570,True,0,0,True
train,79,15,1570,1570,1570,1570,True,0,0,True
train,79,20,1570,1570,1570,1570,True,0,0,True
train,80,5,1458,1458,1458,1458,True,0,0,True
train,80,10,1458,1458,1458,1458,True,0,0,True
train,80,15,1458,1458,1458,1458,True,0,0,True
train,80,20,1458,1458,1458,1458,True,0,0,True
train,81,5,1393,1393,1393,1393,True,0,0,True
train,81,10,1393,1393,1393,1393,True,0,0,True
train,81,15,1393,1393,1393,1393,True,0,0,True
train,81,20,1393,1393,1393,1393,True,0,0,True
train,82,5,1194,1194,1194,1194,True,0,0,True
train,82,10,1194,1194,1194,1194,True,0,0,True
train,82,15,1194,1194,1194,1194,True,0,0,True
train,82,20,1194,1194,1194,1194,True,0,0,True
train,83,5,1144,1144,1144,1144,True,0,0,True
train,83,10,1144,1144,1144,1144,True,0,0,True
train,83,15,1144,1144,1144,1144,True,0,0,True
train,83,20,1144,1144,1144,1144,True,0,0,True
train,84,5,1519,1519,1519,1519,True,0,0,True
train,84,10,1519,1519,1519,1519,True,0,0,True
train,84,15,1519,1519,1519,1519,True,0,0,True
train,84,20,1519,1519,1519,1519,True,0,0,True
train,85,5,121,121,121,121,True,0,0,True
train,85,10,121,121,121,121,True,0,0,True
train,85,15,121,121,121,121,True,0,0,True
train,85,20,121,121,121,121,True,0,0,True
train,86,5,884,884,884,884,True,0,0,True
train,86,10,884,884,884,884,True,0,0,True
train,86,15,884,884,884,884,True,0,0,True
train,86,20,884,884,884,884,True,0,0,True
train,87,5,1461,1461,1461,1461,True,0,0,True
train,87,10,1461,1461,1461,1461,True,0,0,True
train,87,15,1461,1461,1461,1461,True,0,0,True
train,87,20,1461,1461,1461,1461,True,0,0,True
